སྨན་མིང་།	རང་བཞིན།	ཕན་ནུས།
མཁྲིས་ཕྱེ་བདུན་པ།	ཅུང་བསིལ། བཟི་མེད།	མཁྲིས་ཕྱེ་བདུན་པ་ཞེས་གྲགས་སྦྱོར་བ་འདིས། །རྒྱུ་ལོང་བསྣད་འགྲམས་ཁྲག་མཁྲིས་ཚ་འཁྲུ་གཅོད། །
མཁྲིས་ཐང་ཉེར་གཉིས།	བསིལ་བ། བཟི་མེད།	མཁྲིས་ཚད་རོལ་དུ་གསོད།
མཁྲིས་ཕྱེ་ཉེར་ལྔ།	བསིལ་བ། བཟི་མེད།	མཁྲིས་ཕྱེ་ཉེར་ལྔ་ཚད་ལྡན་སྦྱོར་བ་འདི། །ཞིབ་བཏགས་ག་བུར་ནག་པོའི་ཐལ་སྦྱོར་དང་། །ལྟག་པ་སྤྱད་པས་རིམས་ནད་རྒྱུ་གཟེར་ནི། །གསར་རྙིང་སྟོབས་ཆེན་སྟོབས་ཆུང་གང་ཡིན་ཡང་། །རྒྱུ་ལོང་མི་འཁྲུལ་རྩི་སྲུང་སྲ་བྱེད་ཅིང་། །མཆིན་པའི་ཟགས་བསྡོམས་མཁྲིས་པའི་མེ་དབལ་གསོད། །འཁྲུ་བའི་མདོག་བསྒྱུར་ཆུ་བོའི་རྒྱུན་ལམ་གཅོད། །རོ་འདོན་ལ་སོགས་ཐོག་མཐའ་བར་ཀུན་གྱི། །བཅོས་རྣམས་སོ་སོར་མི་དགོས་འདི་ཁོ་ནས། །དུས་གཅིག་བྱེད་པ་ཁོ་བོས་མྱོང་གྲུབ་ཡིན། །
མཁྲིས་ལས་རྣམ་རྒྱལ།	བསིལ་བ། བཟི་མེད།	མཁྲིས་པའི་སྤྱི་སྨན་ངོ་མཚར་ཆེ།
མཁྲིས་པའི་མང་སྦྱོར་ཆེན་མོ།	བསིལ་བ། བཟི་མེད།	ཤ་སེར་མིག་སེར་ཀླུ་ཡ་ལ་སོགས་པའི། །མཁྲིས་པའི་ནད་རིགས་མིག་ཆུ་སེར་བ་འཇོམས། །
མཁྲིས་པའི་གསེར་བཤལ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཤ་སེར་མིག་སེར་ཀྵ་ཡ་ནག་པོ་སོགས། །མཁྲིས་ནད་ཀུན་ལ་བཤལ་དུ་བཏང་བས་འཇོམས། །
འཁྲི་ཤིང་བཅུ་གཉིས།	བསིལ་བ། བཟི་མེད།	ཤ་དུག་སེལ།
འཁྲུ་ནད་སྤྱི་སྨན།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཚ་འཁྲུ་གྲང་འཁྲུ་ཐམས་ཅད་གཅོད།
འཁྲུགས་གློ་ཀུན་སེལ། (འཁྲུགས་གློ་བཅུ་གསུམ།)	ཅུང་བསིལ། བཟི་མེད།	འཁྲུགས་གློ་ཀུན་སེལ་འདི་ཡང་འགྲམས་ལ་བསྔགས། །གཞན་ཡང་འཁྲུགས་རྒན་གློ་རོ་ལུད་པ་ལུ། །ཆམ་གཞུག་ལ་སོགས་ཀུན་ལ་མཆོག་ཏུ་འགྱུར། །
ག་བྲ་གསུམ་ཐང་།	ཅུང་བསིལ། བཟི་མེད།	ཚད་པ་རླུང་གིས་བྱེར་བ་བསྡུད་པར་བྱེད།
གུ་བུར་སུམ་སྦྱོར།	ཅུང་བསིལ། བཟི་མེད།	བྲང་རྒོད་ནད་ལ་ཕན་པ་ཡིན།
ག་བུར་གསུམ་པ།	བསིལ་བ། བཟི་མེད།	བྱིས་པའི་ཚད་འཁྲུའི་ནད་གཞི་སེལ་བར་བྱེད།
ག་བུར་དྲུག་པ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	བྱིས་པ་ཚ་བས་གཟིར་བ་ལ། །གཉེན་པོ་སླེབས་ཆོག་རྡོ་རྗེ་ཡིན། །
ག་བུར་བདུན་པ།	བསིལ་ཆེ། བཟི་མེད།	རྒྱས་ཚད་སྟོབས་ཆེན་འཇོམས་པར་བྱེད། །
ག་བུར་དགུ་བ།	བསིལ་བ། བཟི་བ།<22>	རིམས་ཚད་སེལ་ཞིང་རྒྱས་ཚད་དག་ལ་ཕན། །མ་སྨིན་ཚ་བ་ལ་སོགས་ཚད་རིམས་ལ། །བདུན་ཐང་གིས་ཕུལ་འཕྲལ་དུ་བདེ་བ་སྟེར། །
ག་བུར་བཅོ་བརྒྱད།	བསིལ་ཆེ། བཟི་མེད།	ཕྱི་ནང་འགྲམས་ཚད་ཀུན་ལ་བདུད་རྩི་འདྲ། །
ག་བུར་ཉེར་ལྔ་།	བསིལ་ཆེ། བཟི་མེད།	དོན་སྣོད་ཤ་པགས་རྩ་རུས་ཚད་པ་དང་། །འགྲམས་འཁྲུགས་རིམས་དུག་ཚད་པ་གསར་རྙིང་དང་། །དྲེག་གྲུམ་མེ་དབལ་བྱང་ཁོག་ཐིགས་ཟགས་རྣག །ལུས་ལ་གནས་པའི་ཚད་པ་མ་ལུས་འཇོམས། །ཁྱད་པར་ཚད་རྙིང་བྱེར་བ་གཏིང་ནས་འདོན། །
ག་དུར་དྲུག་ཐང་།	བསིལ་དྲོད་སྙོམས་པ། བཇི་མེད།	ཁྲག་ཤས་ཆེ་བའི་རྒྱས་ཚད་སེལ་བར་བྱེད།
གག་པའི་ཕན་པ་ཀུན་ལྡན།	བསིལ་དྲོད་སྙོམས་པ། བཟི་ཡོད།	འདི་ཡིས་གག་ལྷོག་འཁྱམས་པོ་དང་། །ལོག་ཁྲེབ་ཁོང་ཤོར་ཕྱི་ཆུ་འཐབ། །ཡ་མ་ཁ་མེད་གཉན་དང་སྲིན། །ལྕེ་འབམ་འཇོམས་ཤིང་ཁྱད་པར་དུ། །སྨན་གཏོང་གཉིད་ལོག་རྣག་ཏུ་ཁུག །ཉིན་གཉིས་རིང་ལ་ཐུན་ཆུང་གྲངས་མང་བཏང་། །<23>
གངས་ཅན་བདུད་རྩི་གཟེར་འཇོམས་བྱུག་སྨན།	གཉན་གཟེར་གཅོག་པ་སྟེ། བརྡབས་འགྲམས་ཀྱིས་ཚིགས་གཞི་འཆུས་པ་དང་། དྲེག་གྲུམ་གྱི་ནད། རུས་འཛེར་གྱིས་ཡན་ལག་ཚིགས་གཞི་སྐྲངས་གཟེར་བྱེད་པ། རྩ་དཀར་རང་བཞིན་གྱི་མགོ་བོ་ན་བ་སོགས་ལ་ཕན།
གམ་ཕྱེ་དམར་པོ།	བསིལ་ཆེ། བཟི་ཡོད།	གམ་ཕྱེ་དམར་པོའི་སྦྱོར་བ་འདི། །རིམས་ཚད་རྒྱུ་ལོང་ལ་བབས་དང༌། །གཉན་ཚད་ཁྲག་དང་བསྡོངས་པ་དང་། །དྲེག་གྲུམ་གཉན་དང་བསྡོངས་པ་དང་། །ཆུ་སེར་མཁལ་འགྲམས་དཔྱི་མིག་གཟེར། །མ་ལུས་སེལ་བྱེད་ཁྱད་ཆོས་ཡིན། །
གར་ནག་བཞི་ཐང་།	སྙོམས་པ། བཟི་མེད།	རྒྱུ་རྒན་ནད་ལ་ཕན།
གར་ནག་བདུན་པ།	བསིལ་ཆེ། བཟི་ཡོད།	མཁྲིས་སྲིན་དུག་ཐབས་བད་མཁྲིས་མགོ་ནད་དང་། །མཁྲིས་པ་ལས་བྱུང་རིམས་ནད་སྟོབས་ཆེན་དང་། །བ་ལས་བྱུང་རྒྱུ་ནད་དམར་བཤལ་ལ། །ཐེངས་པས་ཆོག་པ་ཁོ་བོའི་ཉམས་མྱོང་ཡིན། །ཁྱད་པར་ཡ་མ་ཚད་གསར་འཇོམས་པའི་མཆོག །<24>
གར་ནག་བརྒྱད་པ།	ཅུང་བསིལ། བཟི་མེད།	ཚ་འཁྲུ་རྒྱུ་གཟེར་བལ་ནད་བདུད་རྩི་ཡིན། །
གར་ནགོ་དགུ་བ།	སྙོམས་པ། བཟི་མེད།	མཁྲིས་ཚད་བལ་ནད་ལ་སོགས་འདུས་རིམས་འཇོམས། །
གར་ནག་བཅུ་བ། (གྲང་མཁྲིས་བཅུ་པ།)	དྲོད་ཆེ། བཟི་མེད།	གར་ནག་གཙོར་བསྐྱེད་གར་ནག་བཅུ་བ་འདིས། །རླུང་དང་མ་ཞུ་བད་སྐྲུན་ལ་སོགས་པ། །གཞན་དབང་ལྡན་པའི་མཁྲིས་ཀུན་འདི་ཡིས་སེལ། །མ་ཞུ་མཁྲིས་སྐྲན་ནད་ལ་ཤིན་ཏུ་བསྔགས། །ཁྱད་པར་གྲང་མཁྲིས་འཇོམས་པའི་སྨན་མཆོག་ཡིན། །
གར་བཅུ་ཁ་ཚར།	ཅུང་དྲོད། བཟི་མེད།	མཁྲིས་རླུང་དང་། མ་ཞུ་མཁྲིས་ལྡན་སོགས་གྲང་མཁྲིས་ནད་ལ་ཕན།
གར་ནག་བཅོ་ལྔ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་ཅུང་ཡོད།	བད་མཁྲིས་མགོ་ནད་ཁྲག་མཁྲིས་སྲིན་བསྡོངས་པའི། །མགོ་བོ་གཟེར་ལ་སླེབས་ཆོག་བདུད་རྩི་ཡིན། །<25>
གར་ནག་ཉེར་གསུམ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	དེ་ཡིས་མཁྲིས་པ་ཀླུ་ཡའི་ནད་ལས་རྒྱལ། །
གུ་ཡུ་ཉེར་བརྒྱུད།	དྲོད་ཆེ། བཟི་མེད།	གུ་ཡུ་ཉེར་བརྒྱུད་འབྲས་བུ་སྐྲངས་པ་དང་། །དཀར་དམར་གྲོང་བ་འཛག་པའི་ནད་རིགས་དང༌། །མཁལ་མའི་དྲོད་ཤོར་དཔྱི་མིག་གཟེར་ལ་བསྔགས། །
གུ་ཡུ་བདེ་བའི་དཔག་བསམ།	དྲོད་ཆེ། བཟི་མེད།	གུ་ཡུ་བདེ་བའི་དཔག་བསམ་བུ་རམ་གྱིས། །མགོ་བསྡུས་རིལ་བུས་ཚེ་སྟོབས་མདངས་གསལ་བསྐྱེད། །རོ་ཙའི་མཆོག་གྱུར་ཡོན་ཏན་དཔག་ཡས་སོ། །
གུར་བཙོ།	བསིལ་བ། བཟི་ཅུང་ཡོད།	ཡ་མ་ན་བ་དང་། མགོ་གཟེར་བ། སྣ་འགགས་པ། འབྲུམ་ཐོར་འདོན་པ། རྨ་འདོན་པ། སོ་ན་བ། རྣ་བར་ཟུག་གཟེར་ཆེ་ཞིང་རྣག་འདོན་པ། མིག་ཆུ་འདོན་པ། ཆུ་སེར་དང་མཛེ་ནད་སོགས་ལ་ཕན།<26>
གུར་ཁྱུང་ཕྱག་རྡོར་རིལ་བུ།	བསིལ་ཆེ། བཟི་ཅུང་ཡོད།	གུར་ཁྱུང་ཕྱག་རྡོར་རིལ་བུའི་སྦྱོར་བ་འདིས། །ཡ་མ་དཀར་ནག་ཁྲ་གསུམ་དྲེག་གྲུམ་དང༌། །མཁལ་ནད་གསར་རྙིང་རྟོགས་པའི་ཚ་བ་དང་། །ཆུ་སེར་དཀར་ནག་རེག་དུག་གཉན་དང་ཁྲག །རྩ་དཀར་ནད་དང་གཟའ་ནད་མཛེ་ཀུན་སེལ། །
གུར་གུམ་མཆོག་བདུན།	བསིལ་བ། བཟི་མེད།	གུར་གུམ་མཆོག་བདུན་མཆིན་ནད་གསར་རྙིང་དང༌། །མཆིན་པ་བསྣད་འགྲམས་ཁྲག་རྒྱས་མིག་སེར་སེལ། །
གུར་གུམ་བདུན་པ།	བསིལ་བ། བཟི་མེད།	གུར་གུམ་བདུན་པས་མཆིན་པའི་ཚད་པ་སེལ། །
གུར་གུམ་བརྒྱད་པ།	ཅུང་བསིལ། བཟི་མེད།	གུར་གུམ་བརྒྱད་པ་ཁྲག་གཅོད་ཚད་ལྡན་གྱིས། །སྨུག་པོ་གྱེན་དུ་རྡོལ་ལམ་ཐུར་དུ་རལ། །རྩ་ཆེན་མཚོན་གྱིས་བཅད་དམ་སྣ་ཁྲག་རྡོལ། །ཁྲག་ཤོར་མ་ལུས་གཅོད་པའི་མན་ངག་ཡིན། །
